openmp,CASE,Function,Counts,Total_Time,Time_per_count
COLLAPSE,CASE2,FILL_FUNC,2,7.088300000e-02,3.544150000e-02
COLLAPSE,CASE2,RAND,2,7.458290000e-01,3.729145000e-01
COLLAPSE,CASE2,AXPBY,71,9.813540000e-01,1.382188732e-02
COLLAPSE,CASE2,DOT_PRODUCT,52,2.159061000e+00,4.152040385e-02
COLLAPSE,CASE2,APPLY_STENCIL,26,1.443051000e+00,5.550196154e-02
COLLAPSE,CASE2,GRID,2,1.436260000e-01,7.181300000e-02
COLLAPSE,CASE2,CG,1,3.556296000e+00,3.556296000e+00
COLLAPSE,CASE2,GS_PRE_CON,2,7.414760000e-01,3.707380000e-01
COLLAPSE,CASE2,PCG,1,6.452110000e-01,6.452110000e-01
COLLAPSE,CASE3,GRID_C_R,9,7.920530000e-01,8.800588889e-02
COLLAPSE,CASE3,FILL_FUNC,2,7.723200000e-02,3.861600000e-02
COLLAPSE,CASE3,RAND,2,7.630900000e-01,3.815450000e-01
COLLAPSE,CASE3,AXPBY,71,9.776910000e-01,1.377029577e-02
COLLAPSE,CASE3,DOT_PRODUCT,52,2.138848000e+00,4.113169231e-02
COLLAPSE,CASE3,APPLY_STENCIL,26,1.452155000e+00,5.585211538e-02
COLLAPSE,CASE3,GRID,2,1.487990000e-01,7.439950000e-02
COLLAPSE,CASE3,CG,1,3.563917000e+00,3.563917000e+00
COLLAPSE,CASE3,GS_PRE_CON,2,7.310200000e-01,3.655100000e-01
COLLAPSE,CASE3,PCG,1,6.298700000e-01,6.298700000e-01
COLLAPSE,CASE4,GRID_C_R,9,2.444071000e+00,2.715634444e-01
COLLAPSE,CASE4,FILL_FUNC,2,1.604200000e-01,8.021000000e-02
COLLAPSE,CASE4,RAND,2,2.200128000e+00,1.100064000e+00
COLLAPSE,CASE4,AXPBY,71,2.572278000e+00,3.622926761e-02
COLLAPSE,CASE4,DOT_PRODUCT,52,6.262060000e+00,1.204242308e-01
COLLAPSE,CASE4,APPLY_STENCIL,26,4.139481000e+00,1.592108077e-01
COLLAPSE,CASE4,GRID,2,4.606420000e-01,2.303210000e-01
COLLAPSE,CASE4,CG,1,1.011603100e+01,1.011603100e+01
COLLAPSE,CASE4,GS_PRE_CON,2,2.283106000e+00,1.141553000e+00
COLLAPSE,CASE4,PCG,1,1.849258000e+00,1.849258000e+00
