X,Y,Function,Counts,Total_Time,Time_per_count
1000,41,GS_PRE_CON,21,7.835000000e-03,3.730952381e-04
1000,41,PCG,1,1.138900000e-02,1.138900000e-02
1000,49,GRID_C_R,9,2.076000000e-03,2.306666667e-04
1000,49,FILL_FUNC,2,2.594000000e-03,1.297000000e-03
1000,49,RAND,2,8.960000000e-04,4.480000000e-04
1000,49,AXPBY,128,5.498000000e-03,4.295312500e-05
1000,49,DOT_PRODUCT,109,2.418000000e-03,2.218348624e-05
1000,49,APPLY_STENCIL,45,1.966000000e-03,4.368888889e-05
1000,49,GRID,2,5.020000000e-04,2.510000000e-04
1000,49,CG,1,4.252000000e-03,4.252000000e-03
1000,49,GS_PRE_CON,21,9.342000000e-03,4.448571429e-04
1000,49,PCG,1,1.365200000e-02,1.365200000e-02
1000,59,GRID_C_R,9,2.626000000e-03,2.917777778e-04
1000,59,FILL_FUNC,2,3.151000000e-03,1.575500000e-03
1000,59,RAND,2,1.055000000e-03,5.275000000e-04
1000,59,AXPBY,128,7.300000000e-03,5.703125000e-05
1000,59,DOT_PRODUCT,109,3.440000000e-03,3.155963303e-05
1000,59,APPLY_STENCIL,45,2.860000000e-03,6.355555556e-05
1000,59,GRID,2,6.160000000e-04,3.080000000e-04
1000,59,CG,1,5.509000000e-03,5.509000000e-03
1000,59,GS_PRE_CON,21,1.126000000e-02,5.361904762e-04
1000,59,PCG,1,1.765300000e-02,1.765300000e-02
1000,71,GRID_C_R,9,3.173000000e-03,3.525555556e-04
1000,71,FILL_FUNC,2,3.779000000e-03,1.889500000e-03
1000,71,RAND,2,1.289000000e-03,6.445000000e-04
1000,71,AXPBY,128,9.140000000e-03,7.140625000e-05
1000,71,DOT_PRODUCT,109,4.057000000e-03,3.722018349e-05
1000,71,APPLY_STENCIL,45,3.521000000e-03,7.824444444e-05
1000,71,GRID,2,7.570000000e-04,3.785000000e-04
1000,71,CG,1,6.980000000e-03,6.980000000e-03
1000,71,GS_PRE_CON,21,1.355800000e-02,6.456190476e-04
1000,71,PCG,1,2.119600000e-02,2.119600000e-02
1000,85,GRID_C_R,9,3.742000000e-03,4.157777778e-04
1000,85,FILL_FUNC,2,4.541000000e-03,2.270500000e-03
1000,85,RAND,2,1.522000000e-03,7.610000000e-04
1000,85,AXPBY,128,1.139000000e-02,8.898437500e-05
1000,85,DOT_PRODUCT,109,5.468000000e-03,5.016513761e-05
1000,85,APPLY_STENCIL,45,4.204000000e-03,9.342222222e-05
1000,85,GRID,2,8.730000000e-04,4.365000000e-04
1000,85,CG,1,8.994000000e-03,8.994000000e-03
